@relation 'Movie_Data-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-R4,7'

@attribute Genre {'Sci-Fi Fantasy','Drama','Science fiction','Action / Adventure','Action Thriller','Animation','Family Adventure','Period Adventure','Sci-Fi Action','Sci-Fi Horror','Fantasy','Historical Drama','Action','Comedy / Drama','Romance','Horror','Action Adventure','Animation','Comedy','Family Comedy','Sci-Fi Thriller','Horror Thriller','Sci-Fi Adventure`','Sports Drama','Sci-Fi Comedy','Adventure','Action Drama','War','Historical Epic','Action','Sci-Fi Adventure','Period Drama','Thriller','Action Comedy','Crime Drama','Sci-Fi','Fantasy Comedy','Crime Comedy','Action / Crime','War Drama','Western','Unknown','Drama Thriller','Family','Adventure Comedy','Sports Action','Romantic Comedy'}
@attribute 'Runtime (minutes)' {'(-inf-96.6)','(96.6-110.2)','(110.2-123.8)','(123.8-inf)'}
@attribute Distributor {'Disney','Fox','Paramount','Universal','Buena Vista','Warner Bros','DreamWorks','Sony','Newmarket','Buena Vista','Sony / Columbia','New Line','Warner Bros.','Summit Entertainment','Lionsgate','Columbia','Orion Pictures','MGM','Lionsgate / Summit','Sony (Revolution)','Miramax','United Artists','TriStar','Clarius Entertainment','Samuel Goldwyn','Weinstein Company','Freestyle Releasing'}
@attribute 'Rating ' {'PG-13','PG','G','R','PG','NR'}
@attribute Theaters {'(-inf-445.9)','(445.9-892.8)','(892.8-1339.7)','(1339.7-1786.6)','(1786.6-2233.5)','(2233.5-2680.4)','(2680.4-3127.3)','(3127.3-3574.2)','(3574.2-inf)'}
@attribute 'Month of Release' real
@attribute Profitable real

@data
'Action Drama','(96.6-110.2)','Warner Bros.','PG-13','(3127.3-3574.2)',5,0
'Sci-Fi Adventure','(123.8-inf)','Warner Bros.','R','(1786.6-2233.5)',12,0
'Action Adventure','(-inf-96.6)','Universal','PG-13','(2680.4-3127.3)',7,0
'Sci-Fi Adventure','(96.6-110.2)','Warner Bros.','PG-13','(2680.4-3127.3)',11,0
'Unknown','(123.8-inf)','Warner Bros.','PG','(-inf-445.9)',12,0
'Animation','(96.6-110.2)','Paramount','PG','(3574.2-inf)',11,1
'Sports Action','(96.6-110.2)','MGM','PG-13','(2680.4-3127.3)',2,0
'Action Comedy','(-inf-96.6)','New Line','PG-13','(3574.2-inf)',8,0
'Adventure','(123.8-inf)','Paramount','PG-13','(3127.3-3574.2)',4,0
'Drama','(123.8-inf)','Buena Vista','R','(1339.7-1786.6)',10,0
'Fantasy','(96.6-110.2)','Universal','PG-13','(2680.4-3127.3)',2,0
'Sci-Fi Action','(96.6-110.2)','Warner Bros.','R','(2233.5-2680.4)',10,0
'Sci-Fi Horror','(96.6-110.2)','Warner Bros.','PG-13','(445.9-892.8)',9,0
'Action','(123.8-inf)','Warner Bros.','PG','(3574.2-inf)',5,0
'Sci-Fi Thriller','(123.8-inf)','Warner Bros.','PG-13','(2680.4-3127.3)',2,0
'Action','(110.2-123.8)','Sony','PG-13','(3127.3-3574.2)',7,0
'Sci-Fi Thriller','(-inf-96.6)','MGM','PG-13','(2233.5-2680.4)',1,0
'Animation','(-inf-96.6)','Fox','PG','(2680.4-3127.3)',6,0
'Sci-Fi','(123.8-inf)','Buena Vista','PG','(3574.2-inf)',5,0
'Romantic Comedy','(96.6-110.2)','New Line','R','(1786.6-2233.5)',4,0
'Animation','(-inf-96.6)','Buena Vista','PG','(3127.3-3574.2)',11,0
'War','(123.8-inf)','MGM','R','(2680.4-3127.3)',6,0
'Horror','(96.6-110.2)','Universal','R','(3127.3-3574.2)',2,0
'Action Thriller','(-inf-96.6)','Sony','PG-13','(3127.3-3574.2)',4,0
'Family Adventure','(-inf-96.6)','Sony','PG','(2233.5-2680.4)',8,0
