Movie_Num,Title,Production Budget,Domestic,International,Worldwide,Profitable,Genre,Runtime (minutes),Distributor,Rating ,Theaters,Month of Release,,,,,,,,,,,,
153,Jack Frost,85000000,34562556,0,34562556,0,Family,102,Warner Bros.,PG,2152,12,,,,,,,,,,,,
154,Jack the Giant Slayer,195000000,65187603,132500000,197687603,0,Adventure,114,Warner Bros.,PG-13,3525,3,,,,,,,,,,,,
155,John Carter,250000000,73078100,211061000,284139100,0,Sci-Fi Adventure,132,Buena Vista,PG-13,3749,3,,,,,,,,,,,,
156,Jupiter Ascending,176000000,47387723,136600000,183987723,0,Sci-Fi,127,Warner Bros.,PG-13,3181,2,,,,,,,,,,,,
157,K-19: The Widowmaker,100000000,35168966,30547160,65700000,0,Action Thriller,138,Paramount,PG-13,2830,7,,,,,,,,,,,,
158,Krull,27000000,16519460,0,16519460,0,Fantasy,120,Columbia,PG,1289,7,,,,,,,,,,,,
159,Land of the Lost,100000000,49438370,19339184,68777554,0,Adventure Comedy,93,Universal,PG-13,3534,6,,,,,,,,,,,,
160,The Last Castle,72000000,18244060,9398647,27642707,0,Action Drama,133,DreamWorks,R,2270,10,,,,,,,,,,,,
161,Legends of Oz: Dorothys Return,70000000,8462027,10200000,18700000,0,Animation,88,Clarius Entertainment,PG,2658,5,,,,,,,,,,,,
162,Lolita,62000000,1071255,0,1100000,0,Drama,137,Samuel Goldwyn,R,1,7,,,,,,,,,,,,
163,The Lone Ranger,215000000,89302115,171200000,260502115,0,Western,149,Buena Vista,PG-13,3904,7,,,,,,,,,,,,
164,The Lovely Bones,65000000,44114232,49507108,93621340,0,Drama,135,Paramount,PG-13,2638,12,,,,,,,,,,,,
165,Lucky You,55000000,5758950,2623527,8382477,0,Drama,124,Warner Bros.,PG-13,2525,5,,,,,,,,,,,,
166,The Man from U.N.C.L.E.,75000000,45445109,64400000,109845109,0,Action,116,Warner Bros.,PG-13,3673,8,,,,,,,,,,,,
167,Mars Needs Moms,150000000,21392758,17600000,38992758,0,Animation,88,Buena Vista,PG,3117,3,,,,,,,,,,,,
168,Monkeybone,75000000,5411999,2210366,7622365,0,Fantasy Comedy,88,Fox,PG-13,1748,2,,,,,,,,,,,,
169,Mr. Peabody & Sherman,145000000,111506430,164191609,275700000,0,Animation,90,Fox,PG,3951,3,,,,,,,,,,,,
